"unitid","institution.name","year","salaries.wages","total.expenditures"
104151,"Arizona State University-Tempe",2019,12714916,32788443
104179,"University of Arizona",2019,11036414,35097024
110635,"University of California-Berkeley",2019,32217198,70449079
110644,"University of California-Davis",2019,10725701,27066944
110662,"University of California-Los Angeles",2019,30704067,70387611
123961,"University of Southern California",2019,17203663,52282408
126614,"University of Colorado Boulder",2019,10712725,27722901
134130,"University of Florida",2019,13847539,40276275
145637,"University of Illinois at Urbana-Champaign",2019,22595035,48417633
153658,"University of Iowa",2019,13238928,40632993
163286,"University of Maryland-College Park",2019,13484661,28725930
171100,"Michigan State University",2019,13877379,37162911
174066,"University of Minnesota-Twin Cities",2019,19676174,49709283
199120,"University of North Carolina at Chapel Hill",2019,18948568,45594161
204796,"Ohio State University-Main Campus",2019,17314181,51614991
209542,"Oregon State University",2019,5302553,15877486
209551,"University of Oregon",2019,9750326,26039035
214777,"Pennsylvania State University-Main Campus",2019,26585922,67498317
228723,"Texas A & M University-College Station",2019,15896320,48107898
228778,"The University of Texas at Austin",2019,23563233,56228907
230764,"University of Utah",2019,13532894,27556726
236939,"Washington State University",2019,6176904,15526574
236948,"University of Washington-Seattle Campus",2019,20093354,52609349
240444,"University of Wisconsin-Madison",2019,17135295,35392662
243744,"Stanford University",2019,47034721,115558767
